SN,Province,District ,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status
4441,Province 1,Khotang,Sakela Rural Municipality,Ward Member,3,67,M,Communist Party of Nepal (Maoist Centre),278,Elected
4442,Province 1,Khotang,Sakela Rural Municipality,Ward Member,3,37,M,Communist Party of Nepal (Maoist Centre),260,Elected
4443,Province 1,Khotang,Sakela Rural Municipality,Female Ward Member,3,51,F,Communist Party of Nepal (Maoist Centre),290,Elected
4444,Province 1,Khotang,Sakela Rural Municipality,Dalit Female Ward Member,3,44,F,Communist Party of Nepal (Maoist Centre),293,Elected
4445,Province 1,Khotang,Sakela Rural Municipality,Ward President,4,37,M,Nepali Congress,207,Elected
4446,Province 1,Khotang,Sakela Rural Municipality,Ward Member,4,30,M,Nepali Congress,232,Elected
4447,Province 1,Khotang,Sakela Rural Municipality,Ward Member,4,70,M,Nepali Congress,170,Elected
4448,Province 1,Khotang,Sakela Rural Municipality,Female Ward Member,4,32,F,Nepali Congress,189,Elected
4449,Province 1,Khotang,Sakela Rural Municipality,Dalit Female Ward Member,4,44,F,Nepali Congress,203,Elected
4450,Province 1,Khotang,Sakela Rural Municipality,Ward President,5,48,M,Communist Party of Nepal (UML),262,Elected
4451,Province 1,Khotang,Sakela Rural Municipality,Ward Member,5,36,M,Communist Party of Nepal (UML),242,Elected
4452,Province 1,Khotang,Sakela Rural Municipality,Ward Member,5,28,M,Communist Party of Nepal (UML),199,Elected
4453,Province 1,Khotang,Sakela Rural Municipality,Female Ward Member,5,32,F,Communist Party of Nepal (UML),228,Elected
4454,Province 1,Khotang,Sakela Rural Municipality,Dalit Female Ward Member,5,43,F,Communist Party of Nepal (UML),284,Elected
4455,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Mayor,,34,M,Nepali Congress,4397,Elected
4456,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Vice-Mayor,,36,F,Nepali Congress,4486,Elected
4457,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,1,46,M,Nepali Congress,505,Elected
4458,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,1,58,M,Nepali Congress,464,Elected
4459,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,1,49,M,Nepali Congress,463,Elected
4460,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,1,28,F,Nepali Congress,479,Elected
4461,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,1,59,F,Nepali Congress,466,Elected
4462,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,2,37,M,Communist Party of Nepal (UML),380,Elected
4463,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,2,45,M,Communist Party of Nepal (UML),352,Elected
4464,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,2,32,M,Communist Party of Nepal (UML),334,Elected
4465,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,2,42,F,Communist Party of Nepal (UML),369,Elected
4466,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,2,33,F,Communist Party of Nepal (UML),360,Elected
4467,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,3,54,M,Communist Party of Nepal (UML),428,Elected
4468,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,3,44,M,Communist Party of Nepal (UML),409,Elected
4469,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,3,45,M,Nepali Congress,395,Elected
4470,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,3,46,F,Communist Party of Nepal (UML),420,Elected
4471,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,3,38,F,Communist Party of Nepal (UML),432,Elected
4472,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,4,27,M,Nepali Congress,334,Elected
4473,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,4,39,M,Communist Party of Nepal (UML),316,Elected
4474,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,4,54,M,Communist Party of Nepal (UML),294,Elected
4475,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,4,55,F,Nepali Congress,336,Elected
4476,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,4,44,F,Communist Party of Nepal (UML),326,Elected
4477,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,5,33,M,Communist Party of Nepal (UML),420,Elected
4478,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,5,73,M,Communist Party of Nepal (UML),588,Elected
4479,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,5,58,M,Communist Party of Nepal (UML),447,Elected
4480,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,5,55,F,Communist Party of Nepal (UML),460,Elected
4481,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,5,35,F,Communist Party of Nepal (UML),458,Elected
4482,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,6,29,M,Nepali Congress,409,Elected
4483,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,6,47,M,Nepali Congress,437,Elected
4484,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,6,37,M,Nepali Congress,408,Elected
4485,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,6,41,F,Nepali Congress,416,Elected
4486,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,6,35,F,Nepali Congress,424,Elected
4487,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,7,35,M,Communist Party of Nepal (Maoist Centre),392,Elected
4488,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,7,45,M,Communist Party of Nepal (UML),409,Elected
4489,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,7,26,M,Communist Party of Nepal (UML),358,Elected
4490,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,7,48,F,Communist Party of Nepal (Maoist Centre),371,Elected
4491,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,7,32,F,Communist Party of Nepal (UML),381,Elected
4492,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,8,51,M,Nepali Congress,395,Elected
4493,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,8,29,M,Nepali Congress,403,Elected
4494,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,8,49,M,Nepali Congress,373,Elected
4495,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,8,32,F,Nepali Congress,391,Elected
4496,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,8,48,F,Nepali Congress,408,Elected
4497,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,9,40,M,Nepali Congress,255,Elected
4498,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,9,30,M,Nepali Congress,231,Elected
4499,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,9,31,M,Communist Party of Nepal (UML),222,Elected
4500,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,9,61,F,Nepali Congress,242,Elected
4501,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,9,34,F,Nepali Congress,228,Elected
4502,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,10,39,M,Nepali Congress,632,Elected
4503,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,10,47,M,Nepali Congress,579,Elected
4504,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,10,45,M,Nepali Congress,577,Elected
4505,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,10,39,F,Nepali Congress,601,Elected
4506,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,10,37,F,Nepali Congress,586,Elected
4507,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward President,11,38,M,Nepali Congress,430,Elected
4508,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,11,38,M,Communist Party of Nepal (UML),387,Elected
4509,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Ward Member,11,56,M,Communist Party of Nepal (UML),353,Elected
4510,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Female Ward Member,11,29,F,Communist Party of Nepal (UML),366,Elected
4511,Province 1,Khotang,Halesi Tuwachung Urban Municipality,Dalit Female Ward Member,11,48,F,Communist Party of Nepal (UML),361,Elected
4512,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Mayor,,55,M,Nepali Congress,2965,Elected
4513,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Vice-Mayor,,29,F,Nepali Congress,3124,Elected
4514,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,1,44,M,Nepali Congress,564,Elected
4515,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,1,46,M,Nepali Congress,529,Elected
4516,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,1,53,M,Nepali Congress,435,Elected
4517,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,1,37,F,Nepali Congress,555,Elected
4518,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,1,49,F,Nepali Congress,541,Elected
4519,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,2,58,M,Communist Party of Nepal (UML),312,Elected
4520,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,2,52,M,Communist Party of Nepal (UML),303,Elected
4521,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,2,32,M,Nepali Congress,298,Elected
4522,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,2,30,F,Communist Party of Nepal (UML),301,Elected
4523,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,2,30,F,Communist Party of Nepal (UML),309,Elected
4524,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,3,33,M,Nepali Congress,314,Elected
4525,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,3,74,M,Nepali Congress,287,Elected
4526,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,3,66,M,Nepali Congress,280,Elected
4527,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,3,55,F,Nepali Congress,305,Elected
4528,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,3,28,F,Nepali Congress,309,Elected
4529,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,4,42,M,Communist Party of Nepal (UML),286,Elected
4530,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,4,46,M,Communist Party of Nepal (UML),306,Elected
4531,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,4,47,M,Nepali Congress,298,Elected
4532,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,4,32,F,Nepali Congress,298,Elected
4533,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,4,55,F,Communist Party of Nepal (UML),298,Elected
4534,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,5,39,M,Nepali Congress,403,Elected
4535,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,5,57,M,Nepali Congress,367,Elected
4536,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,5,47,M,Nepali Congress,360,Elected
4537,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,5,55,F,Nepali Congress,373,Elected
4538,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,5,46,F,Nepali Congress,377,Elected
4539,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,6,60,M,Communist Party of Nepal (UML),387,Elected
4540,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,6,44,M,Communist Party of Nepal (UML),390,Elected
4541,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,6,45,M,Communist Party of Nepal (UML),368,Elected
4542,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,6,46,F,Communist Party of Nepal (UML),374,Elected
4543,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,6,48,F,Communist Party of Nepal (UML),394,Elected
4544,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,7,49,M,Nepali Congress,325,Elected
4545,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,7,42,M,Nepali Congress,336,Elected
4546,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,7,52,M,Nepali Congress,302,Elected
4547,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,7,42,F,Nepali Congress,342,Elected
4548,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,7,31,F,Nepali Congress,327,Elected
4549,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,8,49,M,Nepali Congress,378,Elected
4550,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,8,52,M,Nepali Congress,331,Elected
4551,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,8,50,M,Nepali Congress,320,Elected
4552,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,8,33,F,Nepali Congress,345,Elected
4553,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,8,47,F,Nepali Congress,339,Elected
4554,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward President,9,31,F,Communist Party of Nepal (UML),261,Elected
4555,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,9,25,M,Communist Party of Nepal (UML),281,Elected
4556,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Ward Member,9,64,M,Communist Party of Nepal (UML),256,Elected
4557,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Female Ward Member,9,60,F,Communist Party of Nepal (UML),264,Elected
4558,Province 1,Okhaldhunga,Khiji Demba Rural Municipality,Dalit Female Ward Member,9,39,F,Communist Party of Nepal (UML),265,Elected
4559,Province 1,Okhaldhunga,Champadevi Rural Municipality,Mayor,,48,M,Nepali Congress,3241,Elected
4560,Province 1,Okhaldhunga,Champadevi Rural Municipality,Vice-Mayor,,48,F,Nepali Congress,3245,Elected
4561,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,1,36,M,Nepali Congress,585,Elected
4562,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,1,40,M,Nepali Congress,578,Elected
4563,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,1,78,M,Nepali Congress,573,Elected
4564,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,1,40,F,Nepali Congress,577,Elected
4565,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,1,31,F,Nepali Congress,583,Elected
4566,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,2,29,M,Nepali Congress,599,Elected
4567,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,2,68,M,Nepali Congress,601,Elected
4568,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,2,35,M,Nepali Congress,596,Elected
4569,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,2,48,F,Nepali Congress,597,Elected
4570,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,2,31,F,Nepali Congress,603,Elected
4571,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,3,55,M,Nepali Congress,349,Elected
4572,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,3,60,M,Nepali Congress,344,Elected
4573,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,3,38,M,Nepali Congress,339,Elected
4574,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,3,59,F,Nepali Congress,331,Elected
4575,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,3,60,F,Nepali Congress,356,Elected
4576,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,4,57,M,Nepali Congress,330,Elected
4577,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,4,46,M,Nepali Congress,320,Elected
4578,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,4,59,M,Nepali Congress,302,Elected
4579,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,4,43,F,Nepali Congress,306,Elected
4580,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,4,30,F,Nepali Congress,315,Elected
4581,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,5,35,M,Communist Party of Nepal (Maoist Centre),238,Elected
4582,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (Maoist Centre),239,Elected
4583,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,5,60,M,Communist Party of Nepal (Maoist Centre),234,Elected
4584,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,5,32,F,Communist Party of Nepal (Maoist Centre),234,Elected
4585,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,5,39,F,Communist Party of Nepal (Maoist Centre),235,Elected
4586,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,6,44,M,Communist Party of Nepal (Maoist Centre),503,Elected
4587,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,6,52,M,Communist Party of Nepal (Maoist Centre),522,Elected
4588,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,6,55,M,Communist Party of Nepal (Maoist Centre),504,Elected
4589,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,6,34,F,Communist Party of Nepal (Maoist Centre),524,Elected
4590,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,6,41,F,Communist Party of Nepal (Maoist Centre),519,Elected
4591,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,7,34,M,Communist Party of Nepal (Maoist Centre),320,Elected
4592,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,7,46,M,Communist Party of Nepal (Maoist Centre),316,Elected
4593,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,7,57,M,Communist Party of Nepal (Maoist Centre),311,Elected
4594,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,7,47,F,Communist Party of Nepal (Maoist Centre),304,Elected
4595,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,7,46,F,Communist Party of Nepal (Maoist Centre),314,Elected
4596,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,8,39,M,Nepali Congress,308,Elected
4597,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,8,41,M,Nepali Congress,298,Elected
4598,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,8,37,M,Nepali Congress,296,Elected
4599,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,8,42,F,Nepali Congress,319,Elected
4600,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,8,39,F,Nepali Congress,282,Elected
4601,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,9,49,M,Communist Party of Nepal (UML),266,Elected
4602,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,9,41,M,Communist Party of Nepal (UML),280,Elected
4603,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,9,42,M,Communist Party of Nepal (UML),273,Elected
4604,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,9,49,F,Communist Party of Nepal (UML),272,Elected
4605,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,9,43,F,Communist Party of Nepal (UML),281,Elected
4606,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward President,10,25,M,Nepali Congress,386,Elected
4607,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,10,63,M,Nepali Congress,395,Elected
4608,Province 1,Okhaldhunga,Champadevi Rural Municipality,Ward Member,10,36,M,Nepali Congress,395,Elected
4609,Province 1,Okhaldhunga,Champadevi Rural Municipality,Female Ward Member,10,48,F,Nepali Congress,387,Elected
4610,Province 1,Okhaldhunga,Champadevi Rural Municipality,Dalit Female Ward Member,10,76,F,Nepali Congress,382,Elected
4611,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Mayor,,34,M,Communist Party of Nepal (Maoist Centre),1906,Elected
4612,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Vice-Mayor,,35,F,Communist Party of Nepal (UML),2073,Elected
4613,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,1,34,M,Communist Party of Nepal (Maoist Centre),383,Elected
4614,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,1,56,M,Communist Party of Nepal (Maoist Centre),397,Elected
4615,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,1,41,M,Communist Party of Nepal (Maoist Centre),386,Elected
4616,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,1,34,F,Communist Party of Nepal (Maoist Centre),396,Elected
4617,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,1,36,F,Communist Party of Nepal (Maoist Centre),406,Elected
4618,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,2,35,M,Communist Party of Nepal (Maoist Centre),394,Elected
4619,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,2,45,M,Communist Party of Nepal (UML),274,Elected
4620,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (Maoist Centre),229,Elected
4621,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,2,28,F,Communist Party of Nepal (Maoist Centre),265,Elected
4622,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,2,47,F,Communist Party of Nepal (Maoist Centre),251,Elected
4623,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,3,23,M,Nepali Congress,463,Elected
4624,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,3,59,M,Nepali Congress,458,Elected
4625,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,3,35,M,Nepali Congress,439,Elected
4626,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,3,42,F,Nepali Congress,471,Elected
4627,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,3,47,F,Nepali Congress,471,Elected
4628,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,4,34,M,Communist Party of Nepal (Maoist Centre),226,Elected
4629,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,4,56,M,Nepali Congress,211,Elected
4630,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,4,45,M,Nepali Congress,211,Elected
4631,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,4,31,F,Nepali Congress,212,Elected
4632,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,4,47,F,Nepali Congress,211,Elected
4633,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,5,46,M,Nepali Congress,328,Elected
4634,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,5,36,M,Nepali Congress,341,Elected
4635,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,5,54,M,Nepali Congress,287,Elected
4636,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,5,34,F,Communist Party of Nepal (UML),310,Elected
4637,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,5,24,F,Nepali Congress,307,Elected
4638,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,6,40,M,Communist Party of Nepal (UML),428,Elected
4639,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,6,46,M,Communist Party of Nepal (UML),464,Elected
4640,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,6,25,M,Communist Party of Nepal (UML),461,Elected
4641,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,6,35,F,Communist Party of Nepal (UML),495,Elected
4642,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,6,59,F,Communist Party of Nepal (UML),501,Elected
4643,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,7,45,M,Communist Party of Nepal (UML),240,Elected
4644,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,7,26,M,Communist Party of Nepal (UML),281,Elected
4645,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,7,48,M,Communist Party of Nepal (UML),242,Elected
4646,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,7,60,F,Communist Party of Nepal (UML),270,Elected
4647,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,7,31,F,Communist Party of Nepal (UML),266,Elected
4648,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward President,8,55,M,Communist Party of Nepal (UML),297,Elected
4649,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,8,57,M,Communist Party of Nepal (UML),302,Elected
4650,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Ward Member,8,59,M,Nepali Congress,284,Elected
4651,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Female Ward Member,8,52,F,Communist Party of Nepal (UML),316,Elected
4652,Province 1,Okhaldhunga,Chishankhu Gadhi Rural Municipality,Dalit Female Ward Member,8,58,F,Communist Party of Nepal (UML),315,Elected
4653,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Mayor,,53,M,Nepali Congress,3859,Elected
4654,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Vice-Mayor,,36,F,Nepali Congress,4035,Elected
4655,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,1,40,M,Nepali Congress,389,Elected
4656,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,1,46,M,Nepali Congress,391,Elected
4657,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,1,56,M,Nepali Congress,384,Elected
4658,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,1,35,F,Nepali Congress,396,Elected
4659,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Dalit Female Ward Member,1,48,F,Nepali Congress,389,Elected
4660,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward President,2,26,M,Communist Party of Nepal (UML),375,Elected
4661,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,2,51,M,Nepali Congress,364,Elected
4662,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Ward Member,2,24,M,Communist Party of Nepal (UML),361,Elected
4663,Province 1,Okhaldhunga,Manebhanjyang Rural Municipality,Female Ward Member,2,39,F,Nepali Congress,368,Elected
