SN,Province,District,Administrative Division,Position,Ward,Age,Gender,Party,Votes,Status
2882,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,4,33,M,Communist Party of Nepal (Maoist Centre),531,Elected
2883,Province 7,Baitadi,Puchaundi Urban Municipality,Female Ward Member,4,47,F,Communist Party of Nepal (UML),556,Elected
2884,Province 7,Baitadi,Puchaundi Urban Municipality,Dalit Female Ward Member,4,39,F,Communist Party of Nepal (UML),552,Elected
2885,Province 7,Baitadi,Puchaundi Urban Municipality,Ward President,5,38,M,Communist Party of Nepal (Maoist Centre),866,Elected
2886,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,5,44,M,Communist Party of Nepal (Maoist Centre),854,Elected
2887,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,5,45,M,Communist Party of Nepal (Maoist Centre),850,Elected
2888,Province 7,Baitadi,Puchaundi Urban Municipality,Female Ward Member,5,25,F,Communist Party of Nepal (Maoist Centre),857,Elected
2889,Province 7,Baitadi,Puchaundi Urban Municipality,Dalit Female Ward Member,5,26,F,Communist Party of Nepal (Maoist Centre),879,Elected
2890,Province 7,Baitadi,Puchaundi Urban Municipality,Ward President,6,72,M,Communist Party of Nepal (UML),587,Elected
2891,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,6,56,M,Communist Party of Nepal (UML),576,Elected
2892,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,6,51,M,Communist Party of Nepal (UML),564,Elected
2893,Province 7,Baitadi,Puchaundi Urban Municipality,Female Ward Member,6,48,F,Communist Party of Nepal (UML),577,Elected
2894,Province 7,Baitadi,Puchaundi Urban Municipality,Dalit Female Ward Member,6,39,F,Communist Party of Nepal (UML),579,Elected
2895,Province 7,Baitadi,Puchaundi Urban Municipality,Ward President,7,55,M,Nepali Congress,423,Elected
2896,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,7,40,M,Communist Party of Nepal (Maoist Centre),405,Elected
2897,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,7,41,M,Nepali Congress,393,Elected
2898,Province 7,Baitadi,Puchaundi Urban Municipality,Female Ward Member,7,61,F,Nepali Congress,382,Elected
2899,Province 7,Baitadi,Puchaundi Urban Municipality,Dalit Female Ward Member,7,31,F,Nepali Congress,388,Elected
2900,Province 7,Baitadi,Puchaundi Urban Municipality,Ward President,8,34,M,Nepali Congress,516,Elected
2901,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,8,60,M,Nepali Congress,469,Elected
2902,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,8,48,M,Nepali Congress,460,Elected
2903,Province 7,Baitadi,Puchaundi Urban Municipality,Female Ward Member,8,30,F,Nepali Congress,477,Elected
2904,Province 7,Baitadi,Puchaundi Urban Municipality,Dalit Female Ward Member,8,31,F,Nepali Congress,462,Elected
2905,Province 7,Baitadi,Puchaundi Urban Municipality,Ward President,9,47,M,Communist Party of Nepal (Maoist Centre),444,Elected
2906,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,9,26,M,Communist Party of Nepal (Maoist Centre),425,Elected
2907,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,9,42,M,Communist Party of Nepal (Maoist Centre),412,Elected
2908,Province 7,Baitadi,Puchaundi Urban Municipality,Female Ward Member,9,22,F,Communist Party of Nepal (Maoist Centre),418,Elected
2909,Province 7,Baitadi,Puchaundi Urban Municipality,Dalit Female Ward Member,9,39,F,Communist Party of Nepal (Maoist Centre),423,Elected
2910,Province 7,Baitadi,Puchaundi Urban Municipality,Ward President,10,50,M,Communist Party of Nepal (UML),533,Elected
2911,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,10,27,M,Communist Party of Nepal (UML),531,Elected
2912,Province 7,Baitadi,Puchaundi Urban Municipality,Ward Member,10,57,M,Communist Party of Nepal (UML),501,Elected
2913,Province 7,Baitadi,Puchaundi Urban Municipality,Female Ward Member,10,39,F,Communist Party of Nepal (UML),520,Elected
2914,Province 7,Baitadi,Puchaundi Urban Municipality,Dalit Female Ward Member,10,36,F,Communist Party of Nepal (UML),512,Elected
2915,Province 7,Baitadi,Melauli Urban Municipality,Mayor,  ,64,M,Nepali Congress,2344,Elected
2916,Province 7,Baitadi,Melauli Urban Municipality,Vice-Mayor,  ,30,F,Nepali Congress,2152,Elected
2917,Province 7,Baitadi,Melauli Urban Municipality,Ward President,1,37,M,Nepali Congress,642,Elected
2918,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,1,62,M,Nepali Congress,520,Elected
2919,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,1,53,M,Nepali Congress,515,Elected
2920,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,1,54,F,Nepali Congress,492,Elected
2921,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,1,24,F,Nepali Congress,515,Elected
2922,Province 7,Baitadi,Melauli Urban Municipality,Ward President,2,42,M,Communist Party of Nepal (UML),307,Elected
2923,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,2,48,M,Communist Party of Nepal (UML),343,Elected
2924,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,2,73,M,Communist Party of Nepal (UML),328,Elected
2925,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,2,51,F,Communist Party of Nepal (UML),332,Elected
2926,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,2,35,F,Communist Party of Nepal (UML),392,Elected
2927,Province 7,Baitadi,Melauli Urban Municipality,Ward President,3,60,M,Rastriya Prajatantra Party,228,Elected
2928,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,3,60,M,Communist Party of Nepal (UML),281,Elected
2929,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,3,60,M,Communist Party of Nepal (UML),269,Elected
2930,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,3,41,F,Communist Party of Nepal (UML),230,Elected
2931,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,3,49,F,Communist Party of Nepal (UML),230,Elected
2932,Province 7,Baitadi,Melauli Urban Municipality,Ward President,4,40,M,Communist Party of Nepal (Maoist Centre),198,Elected
2933,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,4,34,M,Communist Party of Nepal (Maoist Centre),214,Elected
2934,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,4,46,M,Nepali Congress,177,Elected
2935,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,4,36,F,Communist Party of Nepal (Maoist Centre),185,Elected
2936,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,4,41,F,Communist Party of Nepal (Maoist Centre),183,Elected
2937,Province 7,Baitadi,Melauli Urban Municipality,Ward President,5,31,M,Communist Party of Nepal (UML),231,Elected
2938,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,5,55,M,Communist Party of Nepal (UML),256,Elected
2939,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,5,48,M,Communist Party of Nepal (UML),235,Elected
2940,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,5,22,F,Communist Party of Nepal (UML),230,Elected
2941,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,5,35,F,Communist Party of Nepal (UML),221,Elected
2942,Province 7,Baitadi,Melauli Urban Municipality,Ward President,6,50,M,Nepali Congress,201,Elected
2943,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,6,62,M,Nepali Congress,201,Elected
2944,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,6,56,M,Communist Party of Nepal (UML),180,Elected
2945,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,6,30,F,Nepali Congress,195,Elected
2946,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,6,41,F,Nepali Congress,196,Elected
2947,Province 7,Baitadi,Melauli Urban Municipality,Ward President,7,37,M,Nepali Congress,377,Elected
2948,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,7,54,M,Nepali Congress,388,Elected
2949,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,7,53,M,Nepali Congress,329,Elected
2950,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,7,23,F,Nepali Congress,401,Elected
2951,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,7,44,F,Nepali Congress,403,Elected
2952,Province 7,Baitadi,Melauli Urban Municipality,Ward President,8,44,M,Nepali Congress,326,Elected
2953,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,8,57,M,Nepali Congress,342,Elected
2954,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,8,31,M,Nepali Congress,336,Elected
2955,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,8,35,F,Nepali Congress,322,Elected
2956,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,8,29,F,Nepali Congress,324,Elected
2957,Province 7,Baitadi,Melauli Urban Municipality,Ward President,9,40,M,Communist Party of Nepal (Maoist Centre),287,Elected
2958,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,9,37,M,Communist Party of Nepal (UML),350,Elected
2959,Province 7,Baitadi,Melauli Urban Municipality,Ward Member,9,41,M,Nepali Congress,292,Elected
2960,Province 7,Baitadi,Melauli Urban Municipality,Female Ward Member,9,45,F,Nepali Congress,333,Elected
2961,Province 7,Baitadi,Melauli Urban Municipality,Dalit Female Ward Member,9,46,F,Nepali Congress,311,Elected
2962,Province 7,Baitadi,Shivanath Rural Municipality,Mayor,  ,41,M,Nepali Congress,2352,Elected
2963,Province 7,Baitadi,Shivanath Rural Municipality,Vice-Mayor,  ,30,F,Communist Party of Nepal (UML),2368,Elected
2964,Province 7,Baitadi,Shivanath Rural Municipality,Ward President,1,34,M,Communist Party of Nepal (UML),578,Elected
2965,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,1,53,M,Communist Party of Nepal (UML),562,Elected
2966,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,1,53,M,Communist Party of Nepal (UML),559,Elected
2967,Province 7,Baitadi,Shivanath Rural Municipality,Female Ward Member,1,48,F,Communist Party of Nepal (UML),588,Elected
2968,Province 7,Baitadi,Shivanath Rural Municipality,Dalit Female Ward Member,1,40,F,Communist Party of Nepal (UML),585,Elected
2969,Province 7,Baitadi,Shivanath Rural Municipality,Ward President,2,47,M,Communist Party of Nepal (UML),722,Elected
2970,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,2,46,M,Communist Party of Nepal (UML),637,Elected
2971,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,2,36,M,Communist Party of Nepal (UML),621,Elected
2972,Province 7,Baitadi,Shivanath Rural Municipality,Female Ward Member,2,25,F,Communist Party of Nepal (UML),721,Elected
2973,Province 7,Baitadi,Shivanath Rural Municipality,Dalit Female Ward Member,2,31,F,Communist Party of Nepal (UML),707,Elected
2974,Province 7,Baitadi,Shivanath Rural Municipality,Ward President,3,49,M,Communist Party of Nepal (UML),236,Elected
2975,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,3,35,M,Communist Party of Nepal (UML),247,Elected
2976,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,3,34,M,Communist Party of Nepal (UML),220,Elected
2977,Province 7,Baitadi,Shivanath Rural Municipality,Female Ward Member,3,44,F,Communist Party of Nepal (UML),237,Elected
2978,Province 7,Baitadi,Shivanath Rural Municipality,Dalit Female Ward Member,3,25,F,Communist Party of Nepal (UML),235,Elected
2979,Province 7,Baitadi,Shivanath Rural Municipality,Ward President,4,34,M,Nepali Congress,350,Elected
2980,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,4,34,M,Nepali Congress,359,Elected
2981,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,4,51,M,Communist Party of Nepal (UML),324,Elected
2982,Province 7,Baitadi,Shivanath Rural Municipality,Female Ward Member,4,55,F,Nepali Congress,300,Elected
2983,Province 7,Baitadi,Shivanath Rural Municipality,Dalit Female Ward Member,4,46,F,Nepali Congress,308,Elected
2984,Province 7,Baitadi,Shivanath Rural Municipality,Ward President,5,26,M,Communist Party of Nepal (UML),383,Elected
2985,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,5,30,M,Communist Party of Nepal (UML),397,Elected
2986,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,5,50,M,Communist Party of Nepal (UML),357,Elected
2987,Province 7,Baitadi,Shivanath Rural Municipality,Female Ward Member,5,44,F,Communist Party of Nepal (UML),383,Elected
2988,Province 7,Baitadi,Shivanath Rural Municipality,Dalit Female Ward Member,5,25,F,Communist Party of Nepal (UML),390,Elected
2989,Province 7,Baitadi,Shivanath Rural Municipality,Ward President,6,39,M,Nepali Congress,332,Elected
2990,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,6,67,M,Nepali Congress,356,Elected
2991,Province 7,Baitadi,Shivanath Rural Municipality,Ward Member,6,32,M,Nepali Congress,346,Elected
2992,Province 7,Baitadi,Shivanath Rural Municipality,Female Ward Member,6,35,F,Nepali Congress,340,Elected
2993,Province 7,Baitadi,Shivanath Rural Municipality,Dalit Female Ward Member,6,35,F,Nepali Congress,346,Elected
2994,Province 7,Baitadi,Sigas Rural Municipality,Mayor,  ,49,M,Nepali Congress,2332,Elected
2995,Province 7,Baitadi,Sigas Rural Municipality,Vice-Mayor,  ,27,F,Nepali Congress,1855,Elected
2996,Province 7,Baitadi,Sigas Rural Municipality,Ward President,1,44,M,Communist Party of Nepal (UML),235,Elected
2997,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,1,36,M,Nepali Congress,255,Elected
2998,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,1,35,M,Communist Party of Nepal (UML),253,Elected
2999,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,1,26,F,Communist Party of Nepal (UML),231,Elected
3000,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,1,34,F,Communist Party of Nepal (UML),347,Elected
3001,Province 7,Baitadi,Sigas Rural Municipality,Ward President,2,46,M,Communist Party of Nepal (Maoist Centre),381,Elected
3002,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,2,40,M,Rastriya Prajatantra Party,386,Elected
3003,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,2,43,M,Nepali Congress,302,Elected
3004,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,2,38,F,Communist Party of Nepal (UML),380,Elected
3005,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,2,29,F,Rastriya Prajatantra Party,327,Elected
3006,Province 7,Baitadi,Sigas Rural Municipality,Ward President,3,45,M,Communist Party of Nepal (UML),299,Elected
3007,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,3,49,M,Communist Party of Nepal (UML),337,Elected
3008,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,3,49,M,Communist Party of Nepal (UML),281,Elected
3009,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,3,47,F,Communist Party of Nepal (UML),345,Elected
3010,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,3,42,F,Communist Party of Nepal (UML),292,Elected
3011,Province 7,Baitadi,Sigas Rural Municipality,Ward President,4,50,M,Communist Party of Nepal (UML),236,Elected
3012,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,4,43,M,Communist Party of Nepal (UML),239,Elected
3013,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,4,33,M,Communist Party of Nepal (UML),217,Elected
3014,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,4,46,F,Communist Party of Nepal (UML),282,Elected
3015,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,4,32,F,Communist Party of Nepal (UML),253,Elected
3016,Province 7,Baitadi,Sigas Rural Municipality,Ward President,5,49,M,Nepali Congress,334,Elected
3017,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,5,35,M,Communist Party of Nepal (UML),348,Elected
3018,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,5,57,M,Nepali Congress,268,Elected
3019,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,5,28,F,Communist Party of Nepal (UML),297,Elected
3020,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,5,33,F,Nepali Congress,342,Elected
3021,Province 7,Baitadi,Sigas Rural Municipality,Ward President,6,56,M,Communist Party of Nepal (UML),308,Elected
3022,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,6,31,M,Communist Party of Nepal (UML),294,Elected
3023,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,6,51,M,Nepali Congress,256,Elected
3024,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,6,36,F,Nepali Congress,267,Elected
3025,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,6,55,F,Nepali Congress,256,Elected
3026,Province 7,Baitadi,Sigas Rural Municipality,Ward President,7,49,M,Nepali Congress,336,Elected
3027,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,7,57,M,Nepali Congress,289,Elected
3028,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,7,59,M,Nepali Congress,262,Elected
3029,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,7,24,F,Nepali Congress,311,Elected
3030,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,7,48,F,Nepali Congress,279,Elected
3031,Province 7,Baitadi,Sigas Rural Municipality,Ward President,8,53,M,Nepali Congress,346,Elected
3032,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,8,44,M,Nepali Congress,284,Elected
3033,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,8,69,M,Nepali Congress,268,Elected
3034,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,8,26,F,Nepali Congress,289,Elected
3035,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,8,46,F,Nepali Congress,291,Elected
3036,Province 7,Baitadi,Sigas Rural Municipality,Ward President,9,46,F,Communist Party of Nepal (UML),299,Elected
3037,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,9,50,M,Nepali Congress,235,Elected
3038,Province 7,Baitadi,Sigas Rural Municipality,Ward Member,9,34,M,Nepali Congress,227,Elected
3039,Province 7,Baitadi,Sigas Rural Municipality,Female Ward Member,9,28,F,Communist Party of Nepal (UML),282,Elected
3040,Province 7,Baitadi,Sigas Rural Municipality,Dalit Female Ward Member,9,43,F,Communist Party of Nepal (UML),301,Elected
3041,Province 7,Baitadi,Surnaya Rural Municipality,Mayor,  ,42,M,Nepali Congress,2361,Elected
3042,Province 7,Baitadi,Surnaya Rural Municipality,Vice-Mayor,  ,25,F,Communist Party of Nepal (UML),2304,Elected
3043,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,1,46,M,Nepali Congress,158,Elected
3044,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,1,53,M,Nepali Congress,183,Elected
3045,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,1,53,M,Nepali Congress,159,Elected
3046,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,1,29,F,Nepali Congress,154,Elected
3047,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,1,48,F,Nepali Congress,163,Elected
3048,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,2,44,M,Rastriya Prajatantra Party,321,Elected
3049,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,2,54,M,Rastriya Prajatantra Party,352,Elected
3050,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,2,37,M,Rastriya Prajatantra Party,324,Elected
3051,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,2,34,F,Rastriya Prajatantra Party,305,Elected
3052,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,2,33,F,Rastriya Prajatantra Party,346,Elected
3053,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,3,31,M,Communist Party of Nepal (Maoist Centre),244,Elected
3054,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,3,31,M,Communist Party of Nepal (Maoist Centre),234,Elected
3055,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,3,37,M,Communist Party of Nepal (Maoist Centre),221,Elected
3056,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,3,21,F,Communist Party of Nepal (Maoist Centre),244,Elected
3057,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,3,34,F,Communist Party of Nepal (Maoist Centre),245,Elected
3058,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,4,28,M,Communist Party of Nepal (UML),431,Elected
3059,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,4,39,M,Communist Party of Nepal (UML),433,Elected
3060,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,4,55,M,Communist Party of Nepal (UML),396,Elected
3061,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,4,26,F,Communist Party of Nepal (UML),422,Elected
3062,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,4,28,F,Communist Party of Nepal (UML),410,Elected
3063,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,5,59,M,Communist Party of Nepal (UML),402,Elected
3064,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,5,34,M,Communist Party of Nepal (UML),452,Elected
3065,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,5,57,M,Communist Party of Nepal (UML),445,Elected
3066,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,5,49,F,Communist Party of Nepal (UML),441,Elected
3067,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,5,32,F,Communist Party of Nepal (UML),438,Elected
3068,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,6,44,M,Nepali Congress,371,Elected
3069,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,6,45,M,Nepali Congress,383,Elected
3070,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,6,51,M,Nepali Congress,357,Elected
3071,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,6,33,F,Nepali Congress,387,Elected
3072,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,6,32,F,Nepali Congress,369,Elected
3073,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,7,53,M,Nepali Congress,280,Elected
3074,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,7,51,M,Communist Party of Nepal (UML),259,Elected
3075,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,7,48,M,Nepali Congress,248,Elected
3076,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,7,21,F,Communist Party of Nepal (UML),268,Elected
3077,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,7,63,F,Communist Party of Nepal (UML),277,Elected
3078,Province 7,Baitadi,Surnaya Rural Municipality,Ward President,8,39,M,Independent,245,Elected
3079,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,8,51,M,Independent,233,Elected
3080,Province 7,Baitadi,Surnaya Rural Municipality,Ward Member,8,51,M,Nepali Congress,199,Elected
3081,Province 7,Baitadi,Surnaya Rural Municipality,Female Ward Member,8,69,F,Communist Party of Nepal (UML),238,Elected
3082,Province 7,Baitadi,Surnaya Rural Municipality,Dalit Female Ward Member,8,31,F,Communist Party of Nepal (UML),202,Elected
3083,Province 7,Dadeldhura,Ajayameru Rural Municipality,Mayor,  ,35,M,Communist Party of Nepal (Maoist Centre),2271,Elected
3084,Province 7,Dadeldhura,Ajayameru Rural Municipality,Vice-Mayor,  ,34,F,Communist Party of Nepal (Maoist Centre),1838,Elected
3085,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward President,1,55,M,Nepali Congress,456,Elected
3086,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,1,48,M,Nepali Congress,435,Elected
3087,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,1,62,M,Nepali Congress,421,Elected
3088,Province 7,Dadeldhura,Ajayameru Rural Municipality,Female Ward Member,1,44,F,Nepali Congress,404,Elected
3089,Province 7,Dadeldhura,Ajayameru Rural Municipality,Dalit Female Ward Member,1,31,F,Nepali Congress,441,Elected
3090,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward President,2,32,M,Communist Party of Nepal (Maoist Centre),549,Elected
3091,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,2,37,M,Communist Party of Nepal (Maoist Centre),470,Elected
3092,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,2,39,M,Nepali Congress,448,Elected
3093,Province 7,Dadeldhura,Ajayameru Rural Municipality,Female Ward Member,2,63,F,Communist Party of Nepal (Maoist Centre),481,Elected
3094,Province 7,Dadeldhura,Ajayameru Rural Municipality,Dalit Female Ward Member,2,41,F,Communist Party of Nepal (Maoist Centre),484,Elected
3095,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward President,3,40,M,Communist Party of Nepal (Maoist Centre),453,Elected
3096,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,3,24,M,Communist Party of Nepal (UML),359,Elected
3097,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,3,49,M,Communist Party of Nepal (Maoist Centre),315,Elected
3098,Province 7,Dadeldhura,Ajayameru Rural Municipality,Female Ward Member,3,47,F,Communist Party of Nepal (Maoist Centre),366,Elected
3099,Province 7,Dadeldhura,Ajayameru Rural Municipality,Dalit Female Ward Member,3,30,F,Communist Party of Nepal (Maoist Centre),380,Elected
3100,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward President,4,47,M,Communist Party of Nepal (Maoist Centre),494,Elected
3101,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,4,51,M,Communist Party of Nepal (Maoist Centre),503,Elected
3102,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,4,53,M,Communist Party of Nepal (Maoist Centre),435,Elected
3103,Province 7,Dadeldhura,Ajayameru Rural Municipality,Female Ward Member,4,30,F,Communist Party of Nepal (Maoist Centre),524,Elected
3104,Province 7,Dadeldhura,Ajayameru Rural Municipality,Dalit Female Ward Member,4,26,F,Communist Party of Nepal (Maoist Centre),503,Elected
3105,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward President,5,39,M,Communist Party of Nepal (Maoist Centre),366,Elected
3106,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,5,59,M,Communist Party of Nepal (Maoist Centre),382,Elected
3107,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,5,55,M,Communist Party of Nepal (Maoist Centre),375,Elected
3108,Province 7,Dadeldhura,Ajayameru Rural Municipality,Female Ward Member,5,48,F,Communist Party of Nepal (Maoist Centre),372,Elected
3109,Province 7,Dadeldhura,Ajayameru Rural Municipality,Dalit Female Ward Member,5,37,F,Communist Party of Nepal (Maoist Centre),372,Elected
3110,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward President,6,39,M,Communist Party of Nepal (Maoist Centre),480,Elected
3111,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,6,36,M,Communist Party of Nepal (UML),346,Elected
3112,Province 7,Dadeldhura,Ajayameru Rural Municipality,Ward Member,6,46,M,Communist Party of Nepal (Maoist Centre),344,Elected
3113,Province 7,Dadeldhura,Ajayameru Rural Municipality,Female Ward Member,6,33,F,Communist Party of Nepal (Maoist Centre),371,Elected
3114,Province 7,Dadeldhura,Ajayameru Rural Municipality,Dalit Female Ward Member,6,25,F,Communist Party of Nepal (Maoist Centre),331,Elected
3115,Province 7,Dadeldhura,Amargadhi Urban Municipality,Mayor,  ,37,M,Communist Party of Nepal (UML),3768,Elected
3116,Province 7,Dadeldhura,Amargadhi Urban Municipality,Vice-Mayor,  ,25,F,Communist Party of Nepal (UML),3517,Elected
