SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
181,Saptari,Chhinnamasta Rural Municipality,Ward Member,6,51,M,"Naya Shakti Party, Nepal",331,Elected,,
182,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,6,47,F,"Naya Shakti Party, Nepal",415,Elected,,
183,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,6,48,F,"Naya Shakti Party, Nepal",418,Elected,,
184,Saptari,Chhinnamasta Rural Municipality,Ward President,7,37,M,"Rastriya Janata Party, Nepal",288,Elected,,
185,Saptari,Chhinnamasta Rural Municipality,Ward Member,7,48,M,"Rastriya Janata Party, Nepal",264,Elected,,
186,Saptari,Chhinnamasta Rural Municipality,Ward Member,7,55,M,"Rastriya Janata Party, Nepal",253,Elected,,
187,Saptari,Chhinnamasta Rural Municipality,Female Ward Member,7,36,F,"Rastriya Janata Party, Nepal",265,Elected,,
188,Saptari,Chhinnamasta Rural Municipality,Dalit Female Ward Member,7,46,F,"Rastriya Janata Party, Nepal",295,Elected,,
189,Saptari,Dakneshwori Urban Municipality,Mayor,,67,M,"Rastriya Janata Party, Nepal","3,880",Elected,,
190,Saptari,Dakneshwori Urban Municipality,Vice Mayor,,44,F,"Rastriya Janata Party, Nepal","3,856",Elected,,
191,Saptari,Dakneshwori Urban Municipality,Ward President,1,48,M,Nepali Congress,568,Elected,,
192,Saptari,Dakneshwori Urban Municipality,Ward Member,1,41,M,Nepali Congress,550,Elected,,
193,Saptari,Dakneshwori Urban Municipality,Ward Member,1,46,M,Nepali Congress,528,Elected,,
194,Saptari,Dakneshwori Urban Municipality,Female Ward Member,1,51,F,Nepali Congress,594,Elected,,
195,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,1,48,F,Nepali Congress,549,Elected,,
196,Saptari,Dakneshwori Urban Municipality,Ward President,2,57,M,Nepali Congress,484,Elected,,
197,Saptari,Dakneshwori Urban Municipality,Ward Member,2,45,M,Nepali Congress,456,Elected,,
198,Saptari,Dakneshwori Urban Municipality,Ward Member,2,61,M,Nepali Congress,454,Elected,,
199,Saptari,Dakneshwori Urban Municipality,Female Ward Member,2,27,F,Nepali Congress,453,Elected,,
200,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,2,31,F,Nepali Congress,465,Elected,,
201,Saptari,Dakneshwori Urban Municipality,Ward President,3,39,M,"Rastriya Janata Party, Nepal",597,Elected,,
202,Saptari,Dakneshwori Urban Municipality,Ward Member,3,47,M,"Rastriya Janata Party, Nepal",587,Elected,,
203,Saptari,Dakneshwori Urban Municipality,Ward Member,3,23,M,"Rastriya Janata Party, Nepal",577,Elected,,
204,Saptari,Dakneshwori Urban Municipality,Female Ward Member,3,64,F,"Rastriya Janata Party, Nepal",598,Elected,,
205,Saptari,Dakneshwori Urban Municipality,Dalit Female Ward Member,3,30,F,"Rastriya Janata Party, Nepal",600,Elected,,
206,Saptari,Dakneshwori Urban Municipality,Ward President,4,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),222,Elected,,
