SN,District,Administrative Division,Position,Ward,Age,Gender,Party,Vote,Status,,
5119,Rautahat,Garuda Urban Municipality,Dalit Female Ward Member,9,36,F,"Rastriya Janata Party, Nepal",806,Elected,,
5120,Rautahat,Gujara Urban Municipality,Mayor,,58,M,"Rastriya Janata Party, Nepal","5,078",Elected,,
5121,Rautahat,Gujara Urban Municipality,Vice-Mayor,,34,F,"Rastriya Janata Party, Nepal","3,745",Elected,,
5122,Rautahat,Gujara Urban Municipality,Ward President,1,56,M,"Rastriya Janata Party, Nepal",673,Elected,,
5123,Rautahat,Gujara Urban Municipality,Ward Member,1,37,M,"Rastriya Janata Party, Nepal",812,Elected,,
5124,Rautahat,Gujara Urban Municipality,Ward Member,1,49,M,"Rastriya Janata Party, Nepal",764,Elected,,
5125,Rautahat,Gujara Urban Municipality,Female Ward Member,1,35,F,"Rastriya Janata Party, Nepal",800,Elected,,
5126,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,1,46,F,"Rastriya Janata Party, Nepal",813,Elected,,
5127,Rautahat,Gujara Urban Municipality,Ward President,2,33,M,Communist Party of Nepal (Maoist Centre),933,Elected,,
5128,Rautahat,Gujara Urban Municipality,Ward Member,2,42,M,Communist Party of Nepal (Maoist Centre),801,Elected,,
5129,Rautahat,Gujara Urban Municipality,Ward Member,2,41,M,Communist Party of Nepal (Maoist Centre),761,Elected,,
5130,Rautahat,Gujara Urban Municipality,Female Ward Member,2,55,F,Communist Party of Nepal (Maoist Centre),830,Elected,,
5131,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,2,52,F,Communist Party of Nepal (Maoist Centre),844,Elected,,
5132,Rautahat,Gujara Urban Municipality,Ward President,3,35,M,Communist Party of Nepal (Maoist Centre),812,Elected,,
5133,Rautahat,Gujara Urban Municipality,Ward Member,3,55,M,Communist Party of Nepal (Maoist Centre),517,Elected,,
5134,Rautahat,Gujara Urban Municipality,Ward Member,3,54,M,Communist Party of Nepal (Maoist Centre),501,Elected,,
5135,Rautahat,Gujara Urban Municipality,Female Ward Member,3,39,F,Communist Party of Nepal (Maoist Centre),504,Elected,,
5136,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,3,52,F,Communist Party of Nepal (Maoist Centre),518,Elected,,
5137,Rautahat,Gujara Urban Municipality,Ward President,4,31,M,Nepali Congress,960,Elected,,
5138,Rautahat,Gujara Urban Municipality,Ward Member,4,53,M,Nepali Congress,819,Elected,,
5139,Rautahat,Gujara Urban Municipality,Ward Member,4,36,M,Nepali Congress,781,Elected,,
5140,Rautahat,Gujara Urban Municipality,Female Ward Member,4,50,F,Nepali Congress,847,Elected,,
5141,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,4,38,F,Nepali Congress,832,Elected,,
5142,Rautahat,Gujara Urban Municipality,Ward President,5,36,M,"Rastriya Janata Party, Nepal",462,Elected,,
5143,Rautahat,Gujara Urban Municipality,Ward Member,5,47,M,Nepali Congress,544,Elected,,
5144,Rautahat,Gujara Urban Municipality,Ward Member,5,47,M,"Rastriya Janata Party, Nepal",525,Elected,,
5145,Rautahat,Gujara Urban Municipality,Female Ward Member,5,48,F,Nepali Congress,527,Elected,,
5146,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,5,46,F,"Rastriya Janata Party, Nepal",538,Elected,,
5147,Rautahat,Gujara Urban Municipality,Ward President,6,45,M,Communist Party of Nepal (UML),608,Elected,,
5148,Rautahat,Gujara Urban Municipality,Ward Member,6,38,M,Communist Party of Nepal (UML),583,Elected,,
5149,Rautahat,Gujara Urban Municipality,Ward Member,6,50,M,Communist Party of Nepal (UML),567,Elected,,
5150,Rautahat,Gujara Urban Municipality,Female Ward Member,6,31,F,Communist Party of Nepal (UML),579,Elected,,
5151,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,6,61,F,Communist Party of Nepal (UML),580,Elected,,
5152,Rautahat,Gujara Urban Municipality,Ward President,7,70,M,"Rastriya Janata Party, Nepal",564,Elected,,
5153,Rautahat,Gujara Urban Municipality,Ward Member,7,37,M,"Rastriya Janata Party, Nepal",616,Elected,,
5154,Rautahat,Gujara Urban Municipality,Ward Member,7,41,M,"Rastriya Janata Party, Nepal",613,Elected,,
5155,Rautahat,Gujara Urban Municipality,Female Ward Member,7,33,F,"Rastriya Janata Party, Nepal",595,Elected,,
5156,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,7,50,F,"Rastriya Janata Party, Nepal",608,Elected,,
5157,Rautahat,Gujara Urban Municipality,Ward President,8,54,M,"Rastriya Janata Party, Nepal",649,Elected,,
5158,Rautahat,Gujara Urban Municipality,Ward Member,8,47,M,"Rastriya Janata Party, Nepal",640,Elected,,
5159,Rautahat,Gujara Urban Municipality,Ward Member,8,46,M,"Rastriya Janata Party, Nepal",597,Elected,,
5160,Rautahat,Gujara Urban Municipality,Female Ward Member,8,27,F,"Rastriya Janata Party, Nepal",657,Elected,,
5161,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,8,43,F,"Rastriya Janata Party, Nepal",652,Elected,,
5162,Rautahat,Gujara Urban Municipality,Ward President,9,35,M,Communist Party of Nepal (UML),469,Elected,,
5163,Rautahat,Gujara Urban Municipality,Ward Member,9,43,M,"Rastriya Janata Party, Nepal",586,Elected,,
5164,Rautahat,Gujara Urban Municipality,Ward Member,9,51,M,"Rastriya Janata Party, Nepal",539,Elected,,
5165,Rautahat,Gujara Urban Municipality,Female Ward Member,9,33,F,"Rastriya Janata Party, Nepal",522,Elected,,
5166,Rautahat,Gujara Urban Municipality,Dalit Female Ward Member,9,33,F,"Rastriya Janata Party, Nepal",540,Elected,,
5167,Rautahat,Gaur Urban Municipality,Mayor,,43,M,"Rastriya Janata Party, Nepal","5,223",Elected,,
5168,Rautahat,Gaur Urban Municipality,Vice-Mayor,,44,F,"Rastriya Janata Party, Nepal","3,159",Elected,,
5169,Rautahat,Gaur Urban Municipality,Ward President,1,61,M,Nepal Loktantric Forum,494,Elected,,
5170,Rautahat,Gaur Urban Municipality,Ward Member,1,38,M,Nepal Loktantric Forum,386,Elected,,
5171,Rautahat,Gaur Urban Municipality,Ward Member,1,41,M,Nepal Loktantric Forum,371,Elected,,
5172,Rautahat,Gaur Urban Municipality,Female Ward Member,1,36,F,Nepal Loktantric Forum,299,Elected,,
5173,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,1,46,F,Nepal Loktantric Forum,356,Elected,,
5174,Rautahat,Gaur Urban Municipality,Ward President,2,48,M,"Rastriya Janata Party, Nepal",373,Elected,,
5175,Rautahat,Gaur Urban Municipality,Ward Member,2,53,M,"Rastriya Janata Party, Nepal",305,Elected,,
5176,Rautahat,Gaur Urban Municipality,Ward Member,2,34,M,"Rastriya Janata Party, Nepal",263,Elected,,
5177,Rautahat,Gaur Urban Municipality,Female Ward Member,2,57,F,"Rastriya Janata Party, Nepal",265,Elected,,
5178,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,2,48,F,"Rastriya Janata Party, Nepal",337,Elected,,
5179,Rautahat,Gaur Urban Municipality,Ward President,3,48,M,"Rastriya Janata Party, Nepal",220,Elected,,
5180,Rautahat,Gaur Urban Municipality,Ward Member,3,49,M,"Rastriya Janata Party, Nepal",350,Elected,,
5181,Rautahat,Gaur Urban Municipality,Ward Member,3,47,M,"Rastriya Janata Party, Nepal",282,Elected,,
5182,Rautahat,Gaur Urban Municipality,Female Ward Member,3,51,F,"Rastriya Janata Party, Nepal",305,Elected,,
5183,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,3,44,F,"Rastriya Janata Party, Nepal",308,Elected,,
5184,Rautahat,Gaur Urban Municipality,Ward President,4,57,M,Communist Party of Nepal (UML),465,Elected,,
5185,Rautahat,Gaur Urban Municipality,Ward Member,4,46,M,"Rastriya Janata Party, Nepal",417,Elected,,
5186,Rautahat,Gaur Urban Municipality,Ward Member,4,51,M,Communist Party of Nepal (UML),409,Elected,,
5187,Rautahat,Gaur Urban Municipality,Female Ward Member,4,57,F,"Rastriya Janata Party, Nepal",422,Elected,,
5188,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,4,35,F,"Rastriya Janata Party, Nepal",416,Elected,,
5189,Rautahat,Gaur Urban Municipality,Ward President,5,41,M,"Rastriya Janata Party, Nepal",354,Elected,,
5190,Rautahat,Gaur Urban Municipality,Ward Member,5,55,F,"Rastriya Janata Party, Nepal",355,Elected,,
5191,Rautahat,Gaur Urban Municipality,Ward Member,5,51,M,"Rastriya Janata Party, Nepal",320,Elected,,
5192,Rautahat,Gaur Urban Municipality,Female Ward Member,5,51,F,"Rastriya Janata Party, Nepal",456,Elected,,
5193,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,5,34,F,"Rastriya Janata Party, Nepal",550,Elected,,
5194,Rautahat,Gaur Urban Municipality,Ward President,6,41,M,"Rastriya Janata Party, Nepal",643,Elected,,
5195,Rautahat,Gaur Urban Municipality,Ward Member,6,63,M,"Rastriya Janata Party, Nepal",503,Elected,,
5196,Rautahat,Gaur Urban Municipality,Ward Member,6,83,M,"Rastriya Janata Party, Nepal",479,Elected,,
5197,Rautahat,Gaur Urban Municipality,Female Ward Member,6,31,F,"Rastriya Janata Party, Nepal",541,Elected,,
5198,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,6,47,F,"Rastriya Janata Party, Nepal",522,Elected,,
5199,Rautahat,Gaur Urban Municipality,Ward President,7,44,M,Nepali Congress,318,Elected,,
5200,Rautahat,Gaur Urban Municipality,Ward Member,7,45,M,"Rastriya Janata Party, Nepal",264,Elected,,
5201,Rautahat,Gaur Urban Municipality,Ward Member,7,46,M,Nepali Congress,237,Elected,,
5202,Rautahat,Gaur Urban Municipality,Female Ward Member,7,50,F,Nepali Congress,247,Elected,,
5203,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,7,36,F,"Rastriya Janata Party, Nepal",255,Elected,,
5204,Rautahat,Gaur Urban Municipality,Ward President,8,49,M,Nepali Congress,359,Elected,,
5205,Rautahat,Gaur Urban Municipality,Ward Member,8,42,M,Nepali Congress,232,Elected,,
5206,Rautahat,Gaur Urban Municipality,Ward Member,8,43,M,"Rastriya Janata Party, Nepal",214,Elected,,
5207,Rautahat,Gaur Urban Municipality,Female Ward Member,8,36,F,Nepali Congress,218,Elected,,
5208,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,8,44,F,Nepali Congress,222,Elected,,
5209,Rautahat,Gaur Urban Municipality,Ward President,9,44,M,"Rastriya Janata Party, Nepal",254,Elected,,
5210,Rautahat,Gaur Urban Municipality,Ward Member,9,52,M,"Rastriya Janata Party, Nepal",265,Elected,,
5211,Rautahat,Gaur Urban Municipality,Ward Member,9,49,M,"Rastriya Janata Party, Nepal",195,Elected,,
5212,Rautahat,Gaur Urban Municipality,Female Ward Member,9,38,F,"Rastriya Janata Party, Nepal",239,Elected,,
5213,Rautahat,Gaur Urban Municipality,Dalit Female Ward Member,9,63,F,"Rastriya Janata Party, Nepal",256,Elected,,
5214,Rautahat,Chandrapur Urban Municipality,Mayor,,56,M,Nepali Congress,"9,780",Elected,,
5215,Rautahat,Chandrapur Urban Municipality,Vice-Mayor,,50,F,Communist Party of Nepal (UML),"9,916",Elected,,
5216,Rautahat,Chandrapur Urban Municipality,Ward President,1,40,M,Communist Party of Nepal (UML),"1,253",Elected,,
5217,Rautahat,Chandrapur Urban Municipality,Ward Member,1,35,M,Communist Party of Nepal (UML),"1,218",Elected,,
5218,Rautahat,Chandrapur Urban Municipality,Ward Member,1,45,M,Communist Party of Nepal (UML),"1,180",Elected,,
5219,Rautahat,Chandrapur Urban Municipality,Female Ward Member,1,63,F,Communist Party of Nepal (UML),"1,213",Elected,,
5220,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,1,28,F,Communist Party of Nepal (UML),"1,209",Elected,,
5221,Rautahat,Chandrapur Urban Municipality,Ward President,2,34,M,Communist Party of Nepal (Maoist Centre),"1,299",Elected,,
5222,Rautahat,Chandrapur Urban Municipality,Ward Member,2,39,M,Communist Party of Nepal (Maoist Centre),"1,336",Elected,,
5223,Rautahat,Chandrapur Urban Municipality,Ward Member,2,25,M,Communist Party of Nepal (Maoist Centre),"1,304",Elected,,
5224,Rautahat,Chandrapur Urban Municipality,Female Ward Member,2,37,F,Communist Party of Nepal (Maoist Centre),"1,312",Elected,,
5225,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,2,30,F,Communist Party of Nepal (Maoist Centre),"1,338",Elected,,
5226,Rautahat,Chandrapur Urban Municipality,Ward President,3,32,M,Communist Party of Nepal (Maoist Centre),787,Elected,,
5227,Rautahat,Chandrapur Urban Municipality,Ward Member,3,32,M,Communist Party of Nepal (UML),903,Elected,,
5228,Rautahat,Chandrapur Urban Municipality,Ward Member,3,47,M,Communist Party of Nepal (UML),836,Elected,,
5229,Rautahat,Chandrapur Urban Municipality,Female Ward Member,3,49,F,Communist Party of Nepal (UML),819,Elected,,
5230,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,3,35,F,Communist Party of Nepal (UML),859,Elected,,
5231,Rautahat,Chandrapur Urban Municipality,Ward President,4,55,M,Communist Party of Nepal (UML),"1,067",Elected,,
5232,Rautahat,Chandrapur Urban Municipality,Ward Member,4,47,M,Communist Party of Nepal (UML),"1,140",Elected,,
5233,Rautahat,Chandrapur Urban Municipality,Ward Member,4,50,M,Communist Party of Nepal (UML),"1,109",Elected,,
5234,Rautahat,Chandrapur Urban Municipality,Female Ward Member,4,44,F,Communist Party of Nepal (UML),"1,150",Elected,,
5235,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,4,31,F,Communist Party of Nepal (UML),"1,150",Elected,,
5236,Rautahat,Chandrapur Urban Municipality,Ward President,5,38,M,Nepali Congress,730,Elected,,
5237,Rautahat,Chandrapur Urban Municipality,Ward Member,5,21,M,Nepali Congress,689,Elected,,
5238,Rautahat,Chandrapur Urban Municipality,Ward Member,5,48,M,Nepali Congress,654,Elected,,
5239,Rautahat,Chandrapur Urban Municipality,Female Ward Member,5,29,F,Nepali Congress,697,Elected,,
5240,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,5,64,F,Nepali Congress,702,Elected,,
5241,Rautahat,Chandrapur Urban Municipality,Ward President,6,48,M,Communist Party of Nepal (UML),999,Elected,,
5242,Rautahat,Chandrapur Urban Municipality,Ward Member,6,44,M,Communist Party of Nepal (UML),862,Elected,,
5243,Rautahat,Chandrapur Urban Municipality,Ward Member,6,37,M,Communist Party of Nepal (UML),833,Elected,,
5244,Rautahat,Chandrapur Urban Municipality,Female Ward Member,6,28,F,Communist Party of Nepal (UML),837,Elected,,
5245,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,6,37,F,Communist Party of Nepal (UML),846,Elected,,
5246,Rautahat,Chandrapur Urban Municipality,Ward President,7,55,M,Nepali Congress,979,Elected,,
5247,Rautahat,Chandrapur Urban Municipality,Ward Member,7,42,M,Communist Party of Nepal (Maoist Centre),860,Elected,,
5248,Rautahat,Chandrapur Urban Municipality,Ward Member,7,53,M,Nepali Congress,857,Elected,,
5249,Rautahat,Chandrapur Urban Municipality,Female Ward Member,7,46,F,Communist Party of Nepal (Maoist Centre),843,Elected,,
5250,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,7,48,F,Communist Party of Nepal (Maoist Centre),878,Elected,,
5251,Rautahat,Chandrapur Urban Municipality,Ward President,8,58,M,Communist Party of Nepal (UML),"1,266",Elected,,
5252,Rautahat,Chandrapur Urban Municipality,Ward Member,8,41,M,Nepali Congress,"1,229",Elected,,
5253,Rautahat,Chandrapur Urban Municipality,Ward Member,8,46,M,Nepali Congress,"1,162",Elected,,
5254,Rautahat,Chandrapur Urban Municipality,Female Ward Member,8,48,F,Communist Party of Nepal (UML),"1,204",Elected,,
5255,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,8,43,F,Communist Party of Nepal (UML),"1,172",Elected,,
5256,Rautahat,Chandrapur Urban Municipality,Ward President,9,54,M,Nepali Congress,"1,124",Elected,,
5257,Rautahat,Chandrapur Urban Municipality,Ward Member,9,25,M,Nepali Congress,"1,107",Elected,,
5258,Rautahat,Chandrapur Urban Municipality,Ward Member,9,39,M,Nepali Congress,"1,058",Elected,,
5259,Rautahat,Chandrapur Urban Municipality,Female Ward Member,9,37,F,Nepali Congress,"1,067",Elected,,
5260,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,9,38,F,Nepali Congress,"1,105",Elected,,
5261,Rautahat,Chandrapur Urban Municipality,Ward President,10,43,M,Nepali Congress,"1,513",Elected,,
5262,Rautahat,Chandrapur Urban Municipality,Ward Member,10,49,M,Nepali Congress,"1,455",Elected,,
5263,Rautahat,Chandrapur Urban Municipality,Ward Member,10,65,M,Nepali Congress,"1,350",Elected,,
5264,Rautahat,Chandrapur Urban Municipality,Female Ward Member,10,29,F,Nepali Congress,"1,468",Elected,,
5265,Rautahat,Chandrapur Urban Municipality,Dalit Female Ward Member,10,45,F,Nepali Congress,"1,479",Elected,,
5266,Rautahat,Durga Bhagawati Rural Municipality,Mayor,,40,M,Nepali Congress,"2,741",Elected,,
5267,Rautahat,Durga Bhagawati Rural Municipality,Vice president,,58,F,Nepali Congress,"2,138",Elected,,
5268,Rautahat,Durga Bhagawati Rural Municipality,Ward President,1,33,M,Nepali Congress,542,Elected,,
5269,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,1,29,M,Nepali Congress,492,Elected,,
5270,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,1,46,M,Nepali Congress,452,Elected,,
5271,Rautahat,Durga Bhagawati Rural Municipality,Female Ward Member,1,33,F,Nepali Congress,494,Elected,,
5272,Rautahat,Durga Bhagawati Rural Municipality,Dalit Female Ward Member,1,38,F,Nepali Congress,511,Elected,,
5273,Rautahat,Durga Bhagawati Rural Municipality,Ward President,2,39,M,Nepali Congress,452,Elected,,
5274,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,2,38,M,Nepali Congress,472,Elected,,
5275,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,2,53,M,Nepali Congress,466,Elected,,
5276,Rautahat,Durga Bhagawati Rural Municipality,Female Ward Member,2,55,F,Nepali Congress,483,Elected,,
5277,Rautahat,Durga Bhagawati Rural Municipality,Dalit Female Ward Member,2,62,F,Nepali Congress,474,Elected,,
5278,Rautahat,Durga Bhagawati Rural Municipality,Ward President,3,30,M,Communist Party of Nepal (Maoist Centre),696,Elected,,
5279,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,3,37,M,Nepali Congress,594,Elected,,
5280,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,3,31,M,Communist Party of Nepal (Maoist Centre),534,Elected,,
5281,Rautahat,Durga Bhagawati Rural Municipality,Female Ward Member,3,37,F,Communist Party of Nepal (Maoist Centre),539,Elected,,
5282,Rautahat,Durga Bhagawati Rural Municipality,Dalit Female Ward Member,3,57,F,Communist Party of Nepal (Maoist Centre),555,Elected,,
5283,Rautahat,Durga Bhagawati Rural Municipality,Ward President,4,48,M,Nepali Congress,534,Elected,,
5284,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,4,59,M,"Rastriya Janata Party, Nepal",414,Elected,,
5285,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,4,61,M,Nepali Congress,387,Elected,,
5286,Rautahat,Durga Bhagawati Rural Municipality,Female Ward Member,4,34,F,"Rastriya Janata Party, Nepal",431,Elected,,
5287,Rautahat,Durga Bhagawati Rural Municipality,Dalit Female Ward Member,4,48,F,Nepali Congress,421,Elected,,
5288,Rautahat,Durga Bhagawati Rural Municipality,Ward President,5,37,M,Nepali Congress,604,Elected,,
5289,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,5,47,M,Nepali Congress,516,Elected,,
5290,Rautahat,Durga Bhagawati Rural Municipality,Ward Member,5,65,M,Nepali Congress,510,Elected,,
5291,Rautahat,Durga Bhagawati Rural Municipality,Female Ward Member,5,37,F,Nepali Congress,525,Elected,,
5292,Rautahat,Durga Bhagawati Rural Municipality,Dalit Female Ward Member,5,31,F,Nepali Congress,543,Elected,,
5293,Rautahat,Dewahi Gonahi Urban Municipality,Mayor,,39,M,Sanghiya Samajbadi Forum-Nepal (SSFN),"3,255",Elected,,
5294,Rautahat,Dewahi Gonahi Urban Municipality,Vice-Mayor,,55,F,Communist Party of Nepal (Maoist Centre),"3,129",Elected,,
5295,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,1,46,M,Sanghiya Samajbadi Forum-Nepal (SSFN),514,Elected,,
5296,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,1,40,M,Sanghiya Samajbadi Forum-Nepal (SSFN),477,Elected,,
5297,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,1,49,M,Sanghiya Samajbadi Forum-Nepal (SSFN),470,Elected,,
5298,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,1,56,F,Sanghiya Samajbadi Forum-Nepal (SSFN),479,Elected,,
5299,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,1,29,F,Sanghiya Samajbadi Forum-Nepal (SSFN),476,Elected,,
5300,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,2,63,M,Communist Party of Nepal (Maoist Centre),437,Elected,,
5301,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,2,66,M,Communist Party of Nepal (Maoist Centre),433,Elected,,
5302,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,2,62,M,Communist Party of Nepal (Maoist Centre),425,Elected,,
5303,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,2,44,F,Communist Party of Nepal (Maoist Centre),430,Elected,,
5304,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,2,32,F,Communist Party of Nepal (Maoist Centre),437,Elected,,
5305,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,3,71,M,Sanghiya Samajbadi Forum-Nepal (SSFN),658,Elected,,
5306,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,3,53,M,Sanghiya Samajbadi Forum-Nepal (SSFN),693,Elected,,
5307,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,3,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),636,Elected,,
5308,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,3,52,F,Sanghiya Samajbadi Forum-Nepal (SSFN),693,Elected,,
5309,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,3,43,F,Sanghiya Samajbadi Forum-Nepal (SSFN),689,Elected,,
5310,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,4,39,M,Communist Party of Nepal (UML),419,Elected,,
5311,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,4,39,M,Communist Party of Nepal (UML),394,Elected,,
5312,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,4,45,M,Communist Party of Nepal (UML),382,Elected,,
5313,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,4,33,F,Communist Party of Nepal (UML),397,Elected,,
5314,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,4,43,F,Communist Party of Nepal (UML),401,Elected,,
5315,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,5,36,M,Communist Party of Nepal (UML),344,Elected,,
5316,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,5,42,M,Communist Party of Nepal (Maoist Centre),321,Elected,,
5317,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,5,49,M,Communist Party of Nepal (UML),295,Elected,,
5318,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,5,32,F,Communist Party of Nepal (UML),288,Elected,,
5319,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,5,51,F,Communist Party of Nepal (UML),289,Elected,,
5320,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,6,39,M,Communist Party of Nepal (Maoist Centre),524,Elected,,
5321,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,6,31,M,Communist Party of Nepal (Maoist Centre),485,Elected,,
5322,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,6,46,M,Communist Party of Nepal (Maoist Centre),465,Elected,,
5323,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,6,50,F,Communist Party of Nepal (Maoist Centre),490,Elected,,
5324,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,6,58,F,Communist Party of Nepal (Maoist Centre),509,Elected,,
5325,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,7,59,M,Communist Party of Nepal (Maoist Centre),545,Elected,,
5326,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,7,36,M,Communist Party of Nepal (Maoist Centre),499,Elected,,
5327,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,7,34,M,Communist Party of Nepal (Maoist Centre),480,Elected,,
5328,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,7,49,F,Communist Party of Nepal (Maoist Centre),531,Elected,,
5329,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,7,36,F,Communist Party of Nepal (Maoist Centre),538,Elected,,
5330,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,8,48,M,Communist Party of Nepal (Maoist Centre),362,Elected,,
5331,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,8,25,M,Communist Party of Nepal (Maoist Centre),302,Elected,,
5332,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,8,51,M,Communist Party of Nepal (Maoist Centre),297,Elected,,
5333,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,8,48,F,Communist Party of Nepal (Maoist Centre),327,Elected,,
5334,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,8,34,F,Communist Party of Nepal (Maoist Centre),323,Elected,,
5335,Rautahat,Dewahi Gonahi Urban Municipality,Ward President,9,29,M,Sanghiya Samajbadi Forum-Nepal (SSFN),425,Elected,,
5336,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,9,43,M,Sanghiya Samajbadi Forum-Nepal (SSFN),394,Elected,,
5337,Rautahat,Dewahi Gonahi Urban Municipality,Ward Member,9,76,M,Communist Party of Nepal (Maoist Centre),393,Elected,,
5338,Rautahat,Dewahi Gonahi Urban Municipality,Female Ward Member,9,49,F,Communist Party of Nepal (Maoist Centre),410,Elected,,
5339,Rautahat,Dewahi Gonahi Urban Municipality,Dalit Female Ward Member,9,39,F,Sanghiya Samajbadi Forum-Nepal (SSFN),403,Elected,,
5340,Rautahat,Paroha Urban Municipality,Mayor,,44,M,Nepali Congress,"6,330",Elected,,
5341,Rautahat,Paroha Urban Municipality,Vice-Mayor,,53,F,Nepali Congress,"6,098",Elected,,
5342,Rautahat,Paroha Urban Municipality,Ward President,1,41,M,Nepali Congress,473,Elected,,
5343,Rautahat,Paroha Urban Municipality,Ward Member,1,46,M,Nepali Congress,468,Elected,,
5344,Rautahat,Paroha Urban Municipality,Ward Member,1,68,M,Nepali Congress,464,Elected,,
5345,Rautahat,Paroha Urban Municipality,Female Ward Member,1,42,F,Nepali Congress,464,Elected,,
5346,Rautahat,Paroha Urban Municipality,Dalit Female Ward Member,1,41,F,Nepali Congress,468,Elected,,
5347,Rautahat,Paroha Urban Municipality,Ward President,2,41,M,Communist Party of Nepal (Maoist Centre),573,Elected,,
5348,Rautahat,Paroha Urban Municipality,Ward Member,2,37,M,Communist Party of Nepal (Maoist Centre),559,Elected,,
5349,Rautahat,Paroha Urban Municipality,Ward Member,2,24,M,Communist Party of Nepal (Maoist Centre),542,Elected,,
5350,Rautahat,Paroha Urban Municipality,Female Ward Member,2,51,F,Communist Party of Nepal (Maoist Centre),567,Elected,,
